"","title","primary_setting","secondary_setting","author_first","author_last","age","type","format","book_summary","group_1","group_2","own_voice","setting","continent","iso","iso2","region","author","Hardcover","Paperback","Audio","Out_of_Stock.Print","origin_1","origin_2","cultures"
"1","Mahtab's Story","Afghanistan","Pakistan","Libby","Gleeson","9+","Chapter Book","Available in Paperback","Mahtab was hollow. Empty, as if her flesh and blood, her energy, that kept her breathing and running, thinking and talking, was gone. Nothing was in its place. She was hungry. Hungry for water, for her father, for her grandmother, her aunts and uncles, for the trees in the back yard, the cabinet on the wall, the silver and glass objects so lovingly collected, for her mountains, the jagged peaks that cut the sky. Her father was dead. She felt sure of it. She was just a speck of dirt on the floor, drifting through the gap between the boards, falling to the ground. Mahtab and her family are forced to leave their home in Herat and journey secretly through the rocky mountains to Pakistan and from there to faraway Australia. Months go by, months of waiting, months of dread, with only memories and hopes to sustain them. Will they ever be reunited with their father, will they ever find a home? The plight of refugees from war-torn countries and what it really means to leave everything behind and to start a new life are vividly explored in this unforgettable story.","Afghani","","No","Afghanistan , Pakistan","Asia","AF","PK","South Asia","Libby Gleeson",NA,"Yes",NA,NA,"Afghani","","Afghani"
"2","Words in the Dust","Afghanistan","","Trent","Reedy","9+","Chapter Book","Available in Hardcover & Paperback","Zulaikha hopes. She hopes for peace, now that the Taliban have been driven from Afghanistan; a good relationship with her hard stepmother; and one day even to go to school, or to have her cleft palate fixed. Zulaikha knows all will be provided for her--""""Inshallah,"""" God willing. Then she meets Meena, who offers to teach her the Afghan poetry she taught her late mother. And the Americans come to her village, promising not just new opportunities and dangers, but surgery to fix her face. These changes could mean a whole new life for Zulaikha--but can she dare to hope they'll come true?","Afghani","","No","Afghanistan","Asia","AF",NA,"South Asia","Trent Reedy","Yes","Yes",NA,NA,"Afghani","","Afghani"
"3","Shooting Kabul","Afghanistan","United States","N.H.","Senzai","9+","Middle Grade","Available in Hardcover & Paperback","In the summer of 2001, twelve year old Fadis parents make the difficult decision to illegally leave Afghanistan and move the family to the United States. When their underground transport arrives at the rendezvous point, chaos ensues, and Fadi is left dragging his younger sister Mariam through the crush of people. But Mariam accidentally lets go of his hand and becomes lost in the crowd, just as Fadi is snatched up into the truck. With Taliban soldiers closing in, the truck speeds away, leaving Mariam behind. Adjusting to life in the United States isn't easy for Fadi's family and as the events of September 11th unfold the prospects of locating Mariam in a war torn Afghanistan seem slim. When a photography competition with a grand prize trip to India is announced, Fadi sees his chance to return to Afghanistan and find his sister. But can one photo really bring Mariam home? Based in part on the Ms. Senzai's husbands own experience fleeing his home in Soviet controlled Afghanistan in the 1970s, Shooting Kabul is a powerful story of hope, love, and perseverance.","Afghan American","Muslim American","Yes","Afghanistan , United States","Asia","AF","US","South Asia","N.H. Senzai","Yes","Yes",NA,NA,"Afghan","Muslim","Afghan , Muslim"
"4","Saving Kabul Corner","Afghanistan","","N.H.","Senzai","9+","Chapter Book","Available in Hardcover & Paperback","A rough and tumble tomboy, twelve-year-old Ariana couldn't be more different from her cousin Laila, who just arrived from Afghanistan with her family. Laila is a proper, ladylike Afghan girl, one who can cook, sew, sing, and who is well versed in Pukhtun culture and manners. Ariana hates her. Laila not only invades Ariana's bedroom in their cramped Fremont townhouse, but she also becomes close with Mariam Nurzai, Ariana's best friend. Then a rival Afghan grocery store opens near Ariana's family store, reigniting a decades-old feud tracing back to Afghanistan. The cousins, Mariam, and their newfound frenemie, Waleed Ghilzai, must ban together to help the families find a lasting peace before it destroys both businesses and everything their parents have worked for.","Afghan American","Afghani","Yes","Afghanistan","Asia","AF",NA,"South Asia","N.H. Senzai","Yes","Yes",NA,NA,"Afghan","Afghani","Afghan , Afghani"
"5","The Lines We Cross","Afghanistan","","Randa","Abdel-Fattah","12+","Middle Grade","Available in Hardcover & Paperback","Michael likes to hang out with his friends and play with the latest graphic design software. His parents drag him to rallies held by their anti-immigrant group, which rails against the tide of refugees flooding the country. And it all makes sense to Michael. Until Mina, a beautiful girl from the other side of the protest lines, shows up at his school, and turns out to be funny, smart -- and a Muslim refugee from Afghanistan. Suddenly, his parents' politics seem much more complicated. Mina has had a long and dangerous journey fleeing her besieged home in Afghanistan, and now faces a frigid reception at her new prep school, where she is on scholarship. As tensions rise, lines are drawn. Michael has to decide where he stands. Mina has to protect herself and her family. Both have to choose what they want their world to look like.","Afghan Australian","","Yes","Afghanistan","Asia","AF",NA,"South Asia","Randa Abdel-Fattah","Yes","Yes",NA,NA,"Afghan","","Afghan"
"6","Mud City (Breadwinner, Book 3)","Afghanistan","","Deborah","Ellis","11+","Middle Grade","Available in Hardcover & Paperback","Fourteen-year-old Shauzia dreams of seeing the ocean and eventually making a new life in France, but it is hard to reconcile that dream with the terrible conditions of the Afghan refugee camp where she lives. Making things worse is the camp's leader, Mrs. Weera, whose demands on Shauzia make her need to escape all the more urgent. Her decision to leave necessitates Shauzia dress like a boy, as her friend Parvana did, to earn money to buy passage out. But her journey becomes a struggle to survive as she's forced to beg and pick through garbage, eventually landing in jail. An apparent rescue by a well-meaning American family gives her hope again, but will it last? And where will she end up? Mud City is the final book in the acclaimed trilogy that includes The Breadwinner (a best-seller) and Parvana's Journey. It paints a devastating portrait of life in refugee camps, where so many children around the world are trapped, some for their whole lives. But it also tells movingly of these kids' resourcefulness and strength, which help them survive these unimaginable circumstances.","Afghani","","No","Afghanistan","Asia","AF",NA,"South Asia","Deborah Ellis","Yes","Yes",NA,NA,"Afghan","","Afghan"
"7","Parvana's Journey (Breadwinner, Book 2)","Afghanistan","","Deborah","Ellis","11+","Middle Grade","Available in Paperback","In Parvana's Journey, the Taliban still control Afghanistan, but Kabul is in ruins. Parvana's father has just died, and her mother, sister, and brother could be anywhere in the country. Parvana knows she must find them. Despite her youth, Parvana sets out alone, masquerading as a boy. She soon meets other children who are victims of war ƒ?? an infant boy in a bombed-out village, a nine-year-old girl who thinks she has magic powers over landmines, and a boy with one leg. The children travel together, forging a kind of family out of sheer need. The strength of their bond makes it possible to survive the most desperate conditions. Royalties from this book will go toward an education fund for Afghan girls in Pakistani refugee camps.","Afghani","","No","Afghanistan","Asia","AF",NA,"South Asia","Deborah Ellis",NA,"Yes",NA,NA,"Afghani","","Afghani"
"8","The Breadwinner (Breadwinner, Book a)","Afghanistan","","Deborah","Ellis","11+","Middle Grade","Available in Paperback","Eleven-year-old Parvana lives with her family in one room of a bombed-out apartment building in Kabul, Afghanistan's capital city. Parvana's father -- a history teacher until his school was bombed and his health destroyed -- works from a blanket on the ground in the marketplace, reading letters for people who cannot read or write. One day, he is arrested for the crime of having a foreign education, and the family is left without someone who can earn money or even shop for food. As conditions for the family grow desperate, only one solution emerges. Forbidden to earn money as a girl, Parvana must transform herself into a boy, and become the breadwinner. The Breadwinner is a novel about loyalty, survival, families and friendship under extraordinary circumstances. A map, glossary and author's note provide young readers with background and context. All royalties from the sale of this book will go to Women for Women, an organization that supports health and education projects in Afghanistan.","Afghani","","No","Afghanistan","Asia","AF",NA,"South Asia","Deborah Ellis",NA,"Yes",NA,NA,"Afghani","","Afghani"
"9","The Sky of Afghanistan","Afghanistan","","Ana A.","de Eulate","5+","Picture Book","Available in Hardcover","This Afghan girl doesn't stop dreaming and her dreams fly towards all the regions, entering homes, families and hearts.","Afghani","","No","Afghanistan","Asia","AF",NA,"South Asia","Ana A. de Eulate","Yes",NA,NA,NA,"Afghani","","Afghani"
"10","The Roses in My Carpets","Unspecified","","Rukhsana","Khan","6+","Picture Book","Available in Paperback","For a young refugee living with loss and terror-filled memories, time is measured by the next bucket of water, the next portion of bread, and the next call to prayer. Here, where everything - walls, floor, courtyard - is mud, a boy's heart can still long for freedom, independence, and safety. And here, where life is terribly fragile, the strength to endure grows out of need. But the strength to dreams comes from within.","Afghani","","No","Unspecified",NA,NA,NA,NA,"Rukhsana Khan",NA,"Yes",NA,NA,"Afghani","","Afghani"
