CNTRYID,ISO3,Below Level 1,Level 1,Level 2,Level 3,Mean
Ecuador,ECU,58.7,29.19,8.86,3.26,227.72
Japan,JPN,12.24,31.89,42.54,13.33,294.03
Peru,PER,52.56,31.98,12.2,3.26,236.97
Singapore,SGP,16.73,33.6,39.32,10.35,286.64
New Zealand,NZL,16.45,34.19,38,11.37,286.88
Israel,ISR,26.53,35.01,29.23,9.22,273.53
Sweden,SWE,14.95,35.01,40.06,9.98,287.77
Finland,FIN,13.54,35.43,40.78,10.25,289.37
Canada,CAN,18.24,36.93,36.1,8.73,282.29
Slovenia,SVN,28.75,37.21,29.04,4.99,267.8
Netherlands,NLD,14.41,37.61,39.58,8.41,286.4
Belgium,BEL,18.75,37.68,36.29,7.28,280.76
Germany,DEU,17.79,37.69,36.1,8.42,282.58
Poland,POL,23.94,37.77,30.58,7.71,274.92
Norway,NOR,13.57,37.77,41.44,7.23,286.49
Chile,CHL,39.85,38.27,18.61,3.28,252.25
Czechia,CZE,17.25,38.44,35.46,8.85,282.99
Denmark,DNK,16.27,38.47,37.84,7.42,283.08
Russian Federation,RUS,22.25,38.57,30.7,8.48,276.25
Lithuania,LTU,35.23,40.36,21.54,2.88,258.49
United Kingdom of Great Britain and Northern Ireland (the),GBR,18.05,40.43,34.77,6.74,280.33
Greece,GRC,36.14,41.2,18.58,4.07,256.84
Estonia,EST,19.57,41.26,33.02,6.14,277.62
United States of America,USA,19.74,41.35,32.54,6.37,277.44
Hungary,HUN,17.8,42.14,33.65,6.41,279.4
Austria,AUT,13.52,42.14,38.43,5.91,283.98
South Korea ,KOR,13.98,42.43,38.44,5.15,282.97
Mexico,MEX,32.48,43.28,20.59,3.65,260.23
Ireland,IRL,18.65,43.77,32.91,4.67,276.8
Turkey,TUR,37.39,43.99,16.21,2.41,253.16
Slovakia,SVK,14.09,45.45,35.93,4.53,281.08
Kazakhstan,KAZ,25.27,52.46,21.1,1.17,263.87
Afghanistan,AFG,NA,NA,NA,NA,NA
Åland Islands,ALA,NA,NA,NA,NA,NA
Albania,ALB,NA,NA,NA,NA,NA
Algeria,DZA,NA,NA,NA,NA,NA
American Samoa,ASM,NA,NA,NA,NA,NA
Andorra,AND,NA,NA,NA,NA,NA
Angola,AGO,NA,NA,NA,NA,NA
Anguilla,AIA,NA,NA,NA,NA,NA
Antarctica,ATA,NA,NA,NA,NA,NA
Antigua and Barbuda,ATG,NA,NA,NA,NA,NA
Argentina,ARG,NA,NA,NA,NA,NA
Armenia,ARM,NA,NA,NA,NA,NA
Aruba,ABW,NA,NA,NA,NA,NA
Australia,AUS,NA,NA,NA,NA,NA
Azerbaijan,AZE,NA,NA,NA,NA,NA
Bahamas (the),BHS,NA,NA,NA,NA,NA
Bahrain,BHR,NA,NA,NA,NA,NA
Bangladesh,BGD,NA,NA,NA,NA,NA
Barbados,BRB,NA,NA,NA,NA,NA
Belarus,BLR,NA,NA,NA,NA,NA
Belize,BLZ,NA,NA,NA,NA,NA
Benin,BEN,NA,NA,NA,NA,NA
Bermuda,BMU,NA,NA,NA,NA,NA
Bhutan,BTN,NA,NA,NA,NA,NA
Bolivia ,BOL,NA,NA,NA,NA,NA
"Bonaire, Sint Eustatius and Saba",BES,NA,NA,NA,NA,NA
Bosnia and Herzegovina,BIH,NA,NA,NA,NA,NA
Botswana,BWA,NA,NA,NA,NA,NA
Bouvet Island,BVT,NA,NA,NA,NA,NA
Brazil,BRA,NA,NA,NA,NA,NA
British Indian Ocean Territory,IOT,NA,NA,NA,NA,NA
Brunei Darussalam,BRN,NA,NA,NA,NA,NA
Bulgaria,BGR,NA,NA,NA,NA,NA
Burkina Faso,BFA,NA,NA,NA,NA,NA
Burundi,BDI,NA,NA,NA,NA,NA
Cabo Verde,CPV,NA,NA,NA,NA,NA
Cambodia,KHM,NA,NA,NA,NA,NA
Cameroon,CMR,NA,NA,NA,NA,NA
Cayman Islands,CYM,NA,NA,NA,NA,NA
Central African Republic,CAF,NA,NA,NA,NA,NA
Chad,TCD,NA,NA,NA,NA,NA
China,CHN,NA,NA,NA,NA,NA
Christmas Island,CXR,NA,NA,NA,NA,NA
Cocos (Keeling) Islands,CCK,NA,NA,NA,NA,NA
Colombia,COL,NA,NA,NA,NA,NA
Comoros,COM,NA,NA,NA,NA,NA
Democratic Republic of Congo,COD,NA,NA,NA,NA,NA
Congo,COG,NA,NA,NA,NA,NA
Cook Islands,COK,NA,NA,NA,NA,NA
